pair_ID,question1,question2,relatedness_score,entailment_judgment
202,A man with a helmet painted red is riding a blue motorcycle down the road,A motorcyclist with a red helmet is riding a blue motorcycle down the road,4.8,1
205,A motorcyclist without a helmet is waiting on a blue motorcycle near the road,A motorcyclist is riding a motorbike along a roadway,3.3,0
215,Two dogs are playing by a tree,A dog is catching a stick in the air and another is watching,3.7,0
216,Two dogs are playing by a tree,There is no dog leaping in the air,2.7,0
217,Two dogs are playing by a tree,A dog is leaping high in the air and another is watching,3,0
223,A girl in white is dancing,The dancer is dancing in front of the sound equipment,4,0
224,A girl in white is dancing,The blond girl is dancing behind the sound equipment,3.3,0
226,A girl is wearing white clothes and is dancing,The blond girl is dancing in front of the sound equipment,3.5,0
227,The blond girl is dancing in front of the sound equipment,There is no girl in white dancing,3.3,0
232,Three Asian kids are dancing and a man is looking,Three Asian kids are dancing and there is no man looking,3.9,1
233,Three Asian kids are dancing and a man is looking,An Asian man is dancing and three kids are looking,3.7,0
234,The children of a family are playing and waiting,Three Asian kids are dancing and a serious man is looking,1.9,0
237,The children of a family are patiently playing and waiting,Three Asian kids are dancing and a man is looking,2.3,0
238,There are no children playing and waiting,Three Asian kids are dancing and a man is looking,1.6,0
240,A woman is wearing an Egyptian hat on her head,A woman is wearing an Egyptian headdress,4.3,1
241,A woman is wearing an Egyptian headdress,A woman is wearing an Indian headdress,4,0
248,The black woman is wearing glasses over the headdress,A woman is wearing an Egyptian headdress,3.6,0
249,A woman is wearing an Egyptian hat on her head,The woman is wearing glasses and a black headdress,2.5,0
254,A hiker is on top of the mountain and is dancing,There is no hiker dancing on top of the mountain,3.2,1
256,There is no man on a rock high above some trees standing in a strange position,A man is on a rock high above some trees and is standing in a strange position,4.3,1
257,A hiker is on top of the mountain and is dancing,A man is on a rock high above some trees and is standing in an uncomfortable position,2.5,0
258,A hiker is on top of the mountain and is dancing,There is no man on a rock high above some trees standing in a strange position,2.5,0
259,A man is on a rock high above some trees and is standing in a strange position,A hiker is on top of the mountain and is doing a joyful dance,2.9,0
260,There is no hiker dancing on top of the mountain,A man is on a rock high above some trees and is standing in a strange position,2.4,0
265,The brown horse is very near a red barrel at the rodeo,The brown horse is near a red barrel at the rodeo,4.8,1
266,The brown horse is near a red barrel at the rodeo,The brown horse is far from a red barrel at the rodeo,3.6,1
269,A cowgirl is riding a brown horse and is cornering a barrel,The brown horse is near a red barrel at the rodeo,3.2,0
272,A cowgirl is riding a horse and corners a barrel,The brown horse is near a red barrel at the rodeo,3.8,0
273,A boy is standing in the cold water,A boy is standing in the water,4.1,1
276,The boy is sitting near the blue ocean,The boy is wading through the blue ocean,3.2,1
277,A boy is standing in the water,The kid is swimming through the blue ocean,3,0
279,The boy is wading through the blue ocean,A boy is standing in the cold water,3.3,0
283,A man is playing a guitar on stage,There is no man playing a guitar on stage,3.6,1
286,A man is playing a guitar on stage,A guitarist has blonde and flyaway hair,3,0
287,A man is playing a guitar on stage,A bald person is playing a guitar,3.8,0
289,There is no man playing a guitar on stage,A person has blonde and flyaway hair and is playing a guitar,3.4,0
291,Several children are sitting down and have their knees raised,Several children are lying down and are raising their knees,4,0
293,Two young girls are sitting on the ground,Two girls are sitting on the ground,4.4,1
296,Two girls are lying on the ground,Several children are sitting down and have their knees raised,2.8,0
301,A nude lady is walking in front of a crowd in body paint,There is no lady walking in body paint in front of a crowd ,2.9,1
302,A nude lady is walking in front of a crowd in body paint,A nude crowd in body paint is walking in front of a lady ,3.1,0
303,A young topless woman is covered in paint,A topless girl is covered in paint,4.4,1
305,A nude lady is walking in front of a crowd in body paint,A topless girl is covered in paint,3.8,1
309,A nude crowd in body paint is walking in front of a lady ,A young  topless woman is covered in paint,3,0
310,A nude lady is walking in front of a crowd in body paint,A young  topless woman is covered in paint,4.2,0
311,A group of people is near the ocean,A crowd of people is near the water,4.3,1
312,A crowd of people is near the water,A crowd of people is far from the water,3.8,1
313,A group of children in uniforms is standing at a gate and one is kissing the mother,A group of children wearing the same clothes is waiting at a gate and one is kissing the mother,4.5,1
315,A group of mothers in uniforms is standing near the children and one is kissing the gate,A group of children in uniforms is standing at a gate and one is kissing the mother,3.3,0
323,A man is in a parking lot and is playing tennis against a large wall,A man is in a parking lot and is playing tennis against a friend,3.9,0
327,A man is in a parking lot and is playing tennis against a large wall,There is no man pointing at a car,1.5,0
329,A man is in a parking lot and is playing tennis against a friend,A man is pointing at a silver sedan,1.3,0
331,A group of people is on a beach,A group of people is near the sea,4,1
332,A group of people is on a beach,A group of people is on a mountain,2.6,0
333,A man  a woman and two girls are walking on the beach,Four people are walking on the beach,4.5,1
335,A group of people is on a beach,Four people are walking on the beach,4.6,0
338,A man  a woman and two girls are walking on the beach,A group of people is on a mountain,1.4,0
339,A man  a woman and two girls are walking on the beach,A group of people is on a beach,4.3,1
340,A schoolgirl with a black bag is on a crowded train,A girl with a black bag is on a crowded train,4.7,1
341,There is no girl with a black bag on a crowded train,A girl with a black bag is on a crowded train,3.7,1
342,A girl with a black bag is on a crowded train,A cramped black train is on the bag of a girl,2.7,0
344,An Asian woman in a crowd is not carrying a black bag,An Asian woman in a crowd is carrying a black bag,3.8,0
346,A girl with a black bag is on a crowded train,An Asian woman in a crowd is not carrying a black bag,2.5,0
347,A schoolgirl with a black bag is on a crowded train,An Asian woman in a crowd is carrying a black bag,2.8,0
351,A dog is chasing another and is holding a stick in its mouth,A dog is chasing another and is holding a piece of wood in its mouth,4.6,1
354,Two dogs are running and carrying a toy in their mouths,Two dogs are running and carrying an object in their mouths,4.3,1
358,A dog is chasing another and is holding a piece of wood in its mouth,Two dogs are running and carrying an object in their mouths,3.9,0
360,Two dogs are running and carrying an object in their mouths,A dog is chasing a stick and holding another dog in its mouth,3.2,0
361,A dog is chasing another and is holding a stick in its mouth,Two dogs are running and carrying an object in their mouths,4,1
362,A dirty soccer ball is rolling into a goal net,A soccer ball is rolling into a goal net,4.5,1
363,A soccer ball is not rolling into a goal net,A soccer ball is rolling into a goal net,3.4,1
366,A person who plays soccer is kicking a ball into the goal,A soccer ball is rolling into a goal net,4.1,0
367,A soccer ball is rolling into a goal net,A soccer player is kicking a ball out of the goal,3.2,0
370,A soccer ball is rolling into a goal net,A soccer player is kicking a ball into the goal,4.3,0
372,A man is sitting on a chair and rubbing his eyes,There is no man sitting on a chair and rubbing his eyes,3.8,1
373,A man with tattoos is lounging on a couch and holding a pencil,A tattooed man is on a sofa and is holding a pencil,4.4,1
374,A man with tattoos is lounging on a couch and holding a pencil,A man with tattoos is lounging on a couch and is looking for a pencil,2.9,0
375,A man with tattoos is holding a couch with a pencil,A man with tattoos is lounging on a couch and holding a pencil,2.6,0
377,A man is sitting on a chair and rubbing his eyes,A man with tattoos is lounging on a couch and is looking for a pencil,2.1,0
378,A man with tattoos is holding a couch with a pencil,A man is sitting on a chair and rubbing his eyes,2,0
379,A man is resting on a chair and rubbing his eyes,A man with tattoos is lounging on a couch and holding a pencil,2.5,0
380,A man with tattoos is lounging on a couch and holding a pencil,There is no man sitting on a chair and rubbing his eyes,1.6,0
381,A man with tattoos is lounging on a couch and holding a pencil,A man is sitting on a chair and rubbing his eyes,2.4,0
387,A brown and white dog is running through the tall grass,A black and tan dog is running through the low and green grass,3.8,0
390,A white and tan dog is running through the tall and green grass,A brown and white dog is running through the tall grass,4.6,1
391,A man with paint covered clothes is sitting outside in a busy area writing something,A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,4.8,1
392,There is no man wearing clothes that are covered with paint or is sitting outside in a busy area writing something,A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,4.1,1
393,A sitting man is busy writing something in an area covered by paint,A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,3.7,0
395,A man is sitting near a bike and is writing a note,There is no man writing a note near a bike,4.2,1
396,A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,A man is standing near a bike and is writing on a piece paper,2.6,0
397,There is no man writing a note near a bike,A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,2.7,0
398,A man is sitting near a bike and is writing a note,A man with paint covered clothes is sitting outside in a busy area writing something,3.1,0
403,A group of scouts are camping in the grass,A group of scouts are hiking through the grass,3.5,0
404,Some people are walking,People are walking,4.7,1
409,Some people are walking,A group of scouts are camping in the grass,1.5,0
410,A group of scouts are hiking through the grass,Some people are walking,3.2,1
413,Two men are taking a break from a trip on a snowy road,Two men are breaking into a car during a trip on a snowy road,3,0
415,Two men with bikes are on the side of a snowy road,Two men with cars are on the side of a snowy road,3.5,0
422,Two men are holding fishing poles and fishing tackle,Two men are holding fishing poles,4.3,1
423,Two men are not holding fishing poles,Two men are holding fishing poles,3.2,1
427,Two men are holding fishing poles,Two men are standing near the water and are holding tools used for fishing,4.3,0
428,There is no man standing near the water and holding fishing poles,Two men are holding fishing poles,3.2,0
434,The helmeted girl is riding a bike,The helmeted girl is perching on a bike,4.2,0
435,A woman is performing a trick on a ramp with a bicycle,A woman is jumping with a bicycle,4.3,0
436,A woman is performing a trick on a ramp with a bicycle,A woman is performing a trick on a ramp with a car,2.4,0
438,The helmeted girl is perching on a bike,A woman is performing a trick on a ramp with a car,1.9,0
439,The girl with a helmet is perching on a bike,A woman is performing a trick on a ramp with a bicycle,2.9,0
440,The helmeted girl is riding a bike,A woman is performing a trick on a ramp with a bicycle,3.7,0
441,A woman is performing a trick on a ramp with a bicycle,The helmeted girl is perching on a bike,3.3,0
442,A blonds girl is surfing,A blond girl is riding the waves,4.7,1
446,A lady is surfing and riding a wave,A boy is surfing and riding a wave,3.5,0
447,A woman is surfing,A blond girl is riding the waves,4,0
449,A lady is surfing and riding a wave,A blonds girl is surfing,3.6,0
451,A blond girl waves while she is riding,A lady is surfing and riding a wave,2.3,0
454,Two children and an adult are standing next to a tree limb,Two children and an adult are not standing next to a tree limb,3.6,1
457,Two children and an adult are standing next to a tree limb,Two children are climbing a tree,3,0
461,Two children and an adult are standing next to a tree limb,Two children are hanging on a large branch,2.7,0
462,A man dressed in black is riding a bike,A man is performing a trick on a bike,3.5,0
465,A man is performing stunts on a green bicycle,A man is performing a trick on a green bicycle,4.7,1
470,There is no man dressed in black and riding a green bike,A man is performing a trick on a green bicycle,3.4,0
473,A boy is holding a squirt gun,A child is holding a squirt gun,4.5,1
475,A laughing child is holding a water gun and getting sprayed with water,A child with a gun that sprays water is laughing and getting hit by other boys,4,0
476,There is no child holding a water gun or getting sprayed with water,A laughing child is holding a water gun and getting sprayed with water,4,1
477,A child with a gun that sprays water is laughing and getting hit by other boys,A child is holding a squirt gun,3.9,1
484,Two daschunds are playing with a red ball,Two dogs are playing with a small red ball,4.2,0
485,Two cats are playing with a red ball,Two daschunds are playing with a red ball,3.3,0
486,Two brown dogs are fighting over a red ball and are playing in the grass,Two dogs are playing with a small red ball,3.8,0
489,There is no dog playing with a red ball,Two daschunds are playing with a red ball,3,1
491,The black and white dog is running and a person stands behind it,The dog  which is black and white  is running and a person stands behind it,4.9,1
494,A little dog is sprinting and the person who owns it is trying to catch it,A little dog is sprinting and its owner is trying to catch it,4.8,1
496,The black and white dog is running and a person stands behind it,A little dog is sprinting and the person who owns it is trying to catch it,3,0
497,The black and white dog is running and a person stands behind it,A little dog is slowing down and the owner is quitting chasing it,2.9,0
499,The black and white dog isn't running and there is no person standing behind,A little dog is sprinting and its owner is trying to catch it,2.7,0
500,A black person is running along a white stand and a dog barks behind him,A little dog is sprinting and its owner is trying to catch it,2.5,0
505,A man wearing a dyed black shirt is sitting at the table and laughing,A black shirt is being worn by a man who is sitting at the table and laughing,4.7,1
506,A man wearing a dyed black shirt is sitting at the table and laughing,There is no man wearing a shirt dyed black  sitting at the table and laughing,3.7,1
507,A laughing man is dyeing a shirt black on the table which you cannot sit at ,A man wearing a dyed black shirt is sitting at the table and laughing,3.6,0
508,A black shirt is being worn by a man who is sitting at the table and laughing,A man is sitting comfortably at a table,3.5,0
513,A man is sitting and tables a comfortable discussion,A man wearing a dyed black shirt is sitting at the table and laughing,2.4,0
514,A man is sitting comfortably at a table,A man wearing a dyed black shirt is sitting at the table and laughing,3.9,0
515,A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,A woman who is wearing a pink scarf is riding a bike down a bridge built for pedestrians,4.3,1
516,A woman who is taking off a pink boa is stopping her bicycle on a bridge built for pedestrians,A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,3.7,0
522,A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,The woman wearing silver pants  pink bellbottoms and a pink scarf isn't riding a bike,2.6,0
524,A woman who is wearing a pink scarf is riding a bike down a bridge built for pedestrians,The woman wearing silver pants  pink bellbottoms and a pink scarf is riding a bike,3.7,0
527,A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,The woman wearing silver pants  pink bellbottoms and a pink scarf is riding a bike,2.5,0
528,A person  who is riding a bike  is wearing gear which is black,A biker is wearing gear which is black,4.7,1
529,A biker is naked,A biker is wearing gear which is black,3.315,1
531,A black helmet is being worn by a man who is pushing a bicycle,One man is wearing a black helmet and pushing a bicycle,4.8,1
535,A biker is wearing gear which is black,There is no man wearing a black helmet and pushing a bicycle,2.7,0
538,One man is wearing a black helmet and pushing a bicycle,A biker is naked,2.6,0
541,The man in a grey t-shirt is sitting on a rock in front of the waterfall,The man in a t-shirt dyed grey is sitting on a rock in front of a waterfall,4.9,1
542,The man in a grey t-shirt is sitting on a rock in front of the waterfall,There is no man in a grey t-shirt sitting on a rock in front of the waterfall,3.5,1
545,A woman is standing and isn't looking at the waterfall,A woman is sitting and looking at the waterfall,3.1,0
548,A woman is standing and isn't looking at the waterfall,The man in a grey t-shirt is sitting on a rock in front of the waterfall,2.5,0
550,The man in a t-shirt dyed grey is sitting on a rock in front of a waterfall,A woman is sitting and looking at the waterfall,3.1,0
551,There is no man in a grey t-shirt sitting on a rock in front of the waterfall,A woman is sitting and looking at the waterfall,1.9,0
552,A woman is sitting and looking at the waterfall,A rocker is sitting with a t-shirt that has a man over a grey waterfall on the front,2.5,0
555,A dog  which is brown  and a black one are running in the grass,There is no dog running in the grass,3.4,1
556,A black man is running in brown grass and racing a dog,A dog  which is brown  and a black one are running in the grass,2.5,0
557,A dark black dog and a light brown dog are playing in the yard in the back,A dark black dog and a light brown dog are playing in the backyard,4.9,1
560,A dark black dog and a light brown dog are playing in the yard in the back,A dog  which is brown  and a black one are running in the grass,4,0
561,A dark black dog and a light brown dog are fighting in the backyard,A dog  which is brown  and a black one are running in the grass,3.6,0
564,There is no dog running in the grass,A dark black dog and a light brown dog are playing in the backyard,3.1,0
565,A dark black dog and a light brown dog are playing in the backyard,A black man is running in brown grass and racing a dog,2,0
568,A dog that has a brown and white coat is sitting in shallow water,A dog that has a brown and white coat is trotting through shallow water,4.1,0
570,A white and brown dog is walking through the water with difficulty,A white and brown dog is pacing through the water with difficulty,4.5,1
581,A group of boys are quiet in front of a large door made of wood,A group of boys are playing with a ball in front of a large door made of wood,3.5,0
586,The children aren't playing in front of a large door,A group of boys are playing with a ball in front of a large door made of wood,3.4,0
587,A bunch of boys are playing with a ball in front of a large door made of wood,The children are playing in front of a large door,3.4,1
588,The children are playing in front of a large door,A group of boys are quiet in front of a large door made of wood,3.4,0
597,A black  red  white and pink dress is being worn by a woman,A woman is taking off a cloak  which is very large  and revealing extravagant apparel,2.8,0
599,A woman is taking off a cloak  which is very large  and revealing an extravagant dress,A black  red  white and pink dress is being worn by a woman,3.4,0
601,A teenage girl is storing away beads that are red,A teenage girl is wearing beads that are red,3.8,0
603,A young lady with light brown hair is wearing a red necklace  a sweatshirt and earrings and is smiling,A lady of young age  with light brown hair  is wearing a red necklace  a sweatshirt and earrings and is smiling,5,1
604,A young lady with light brown hair is wearing a red necklace  a sweatshirt and earrings and is smiling,There is no young lady with light brown hair wearing a red necklace  a sweatshirt and earrings and smiling,3.7,1
605,A young lady with light brown hair is wearing a red necklace  a sweatshirt and earrings and is smiling,A red sweatshirt with a smiling lady upon it is suited to be worn with light brown hair  earrings and a necklace ,3.3,0
606,A lady of young age  with light brown hair  is wearing a red necklace  a sweatshirt and earrings and is smiling,A teenage girl is wearing beads that are red,3.1,0
609,A young lady with light brown hair is wearing a red necklace  a sweatshirt and earrings and is smiling,The teenage girl is wearing beads that are red,2.4,0
611,The girl likes red and isn't wearing beads for teenagers,A young lady with light brown hair is wearing a red necklace  a sweatshirt and earrings and is smiling,2.3,0
617,A fearful little boy is on a climbing wall,A fearful little boy is on the ground,3.4,0
621,A boy is climbing up a wall artificially built for climbing and is attached to a rope,A climbing boy rescues the fearful cat from over the wall,2.2,0
622,A fearful little boy is on a climbing wall,A boy is effortlessly climbing up a wall artificially built for climbing and is attached to a rope,4.1,0
625,A boy is climbing up a wall artificially built for climbing and is attached to a rope,A fearful little boy is on a climbing wall,3.9,0
626,A dad is launching his daughter into a swimming pool,A father is launching the daughter in a swimming pool,4.8,1
628,A father is in the swimming pool during his daughters launch,A father is launching the daughter in a swimming pool,3.2,0
629,The man is tossing a kid into the swimming pool that is near the ocean,One man is tossing a kid into the swimming pool that is near the ocean,4.8,1
631,The man is tossing a kid into the swimming pool that is near the ocean,A kid swimming in the ocean is tossing a coin into the pool  near the man,2.2,0
632,One man is tossing a kid into the swimming pool that is near the ocean,A father is launching the daughter in a swimming pool,3.9,0
634,A kid swimming in the ocean is tossing a coin into the pool  near the man,A father is launching the daughter in a swimming pool,1.6,0
637,A father is in the swimming pool during his daughters launch,The man is tossing a kid into the swimming pool that is near the ocean,2.515,0
638,A father is launching the daughter in a swimming pool,The man is tossing a kid into the swimming pool that is near the ocean,3.8,0
641,A social climber is tying a man to a cliff with a rope,One man is climbing a cliff with a rope,3.1,0
643,A person is standing in front of a rock with a rope  which is pink,A person is climbing a rock with a rope  which is pink,3.9,0
645,A rock is being climbed by a person with a rope  which is pink,One man is climbing a cliff with a rope,4.3,1
646,One man is climbing a cliff with a rope,A person is standing in front of a rock with a rope  which is pink,3.4,0
648,A person is climbing a rock with a rope  which is pink,One man is climbing the cliff with a rope,4.1,1
649,A person is climbing a rock with a rope  which is pink,One man is descending a cliff with a rope,2.8,0
650,A person is climbing a rock with a rope  which is pink,A social climber is tying a man to a cliff with a rope,2.685,0
653,A young boy isn't climbing a wall made of rock,The young boy is climbing the wall made of rock,4.1,1
655,A young child is climbing a rock climbing wall which is indoors,A young kid is climbing a rock climbing wall which is indoors,4.7,1
657,A young child is climbing a rock climbing wall which is indoors,A child is indoors watching a program about some young climbers on a rock wall.,3.2,0
660,A child is indoors watching a program about some young climbers on a rock wall.,The young boy is climbing the wall made of rock,3.4,0
661,One young boy is climbing a wall made of rock,A young child is climbing a rock climbing wall which is indoors,4.3,0
663,A young climber is making a rock wall for the boys,A young child is climbing a rock climbing wall which is indoors,2.9,0
668,The cyclist is performing a trick in the air,The cyclist isn't performing a trick in the air,3.8,1
671,One man is doing a bicycle trick in midair,The cyclist isn't performing a trick in the air,2.9,0
672,One man is doing a bicycle trick in midair,The air is tricking a performing cyclist,3,0
676,A dog  which is black  and a white one are staring at each other in the street,A dog  which is black  and another one  which is white  are staring at each other in the street,4.9,1
678,A dog  which is black  and a white one are staring at each other in the street,One white dog is staring at the black street,3.1,0
679,Two dogs of different breeds are looking angrily at each other across a street,Two dogs of different breeds are looking at each other across a street,4.6,1
680,Two dogs of different breeds are looking at each other across a street,There are no dogs of different breeds looking at each other across a street,3.9,1
685,A dog  which is black  and another one  which is white  are staring at each other in the street,Two dogs of different breeds are looking at each other across a street,4.1,0
690,A dog next to a tree  which is probably a pine  is dropping a bucket,A dog next to a tree  which is probably a pine  is biting a bucket,3.4,0
691,A dog next to a tree  which is probably a pine  is biting a bucket,A dog in a bucket is biting a tree which is probably a pine,3.2,0
692,A dog which is furry and black is in a backyard and is carrying a basket in its mouth.,A dog which is furry and black is in a back yard and is carrying a basket in its mouth,5,1
693,A dog which is furry and black is in a back yard and is carrying a basket in its mouth,There is no dog which is furry and black in a back yard carrying a basket in its mouth.,3.7,1
696,A dog next to a tree  which is probably a pine  is biting a bucket,There is no dog which is furry and black in a back yard carrying a basket in its mouth.,3.2,0
697,A dog in the backyard is carrying black fur in a basket in its mouth.,A dog next to a tree  which is probably a pine  is biting a bucket,3.4,0
699,A dog which is furry and black is in a back yard and is carrying a basket in its mouth,A dog next to a tree  which is probably a pine  is dropping a bucket,2.8,0
702,Two persons of large size are sitting on a park bench and they have a bottle of soda between them,Two large persons are sitting on a park bench and they have a bottle of soda between them,4.7,1
703,Two large persons are sitting on a park bench and they have a bottle of soda between them,Two large persons are standing near a park bench and they have nothing between them,4.1,1
704,Two large park benches have a person sitting and a bottle of soda between them,Two large persons are sitting on a park bench and they have a bottle of soda between them,3.7,1
709,A man and a woman are sitting comfortably on the bench,Two persons of large size are sitting on a park bench and they have a bottle of soda between them,3.3,0
715,The man is racing for the lead ,A man is leading the race,3.7,0
722,A few men in a competition are running outside,One man is leading the race,3.1,0
723,A man is bringing up the rear of the race,A few men in a competition are running outside,3.7,0
